clasificacion,texto,sentiment_probabilities,sentiment_label,veracity_label,veracity_probabilities
1,"En la plataforma electoral de La Libertad Avanza aparece la vuelta de ""un sistema de capitalizacion privado"" para las jubilaciones. Es decir, el sistema que funciono en la Argentina entre 1993 y 2008, con las AFJP.","[0.35623595118522644, 0.643764078617096]",1,1,"[0.3240256607532501, 0.6759743094444275]"
1,La dolarizacion que propone (Milei) la tiene Zimbabue,"[0.9998251795768738, 0.00017486851720605046]",0,1,"[0.42758432030677795, 0.5724156498908997]"
0,"Javier Milei a Sergio Massa, en el debate por el balotaje 2023: ""Con vos como ministro de Economia cayeron 33% los ingresos""","[0.999845027923584, 0.00015493996033910662]",0,0,"[0.7681039571762085, 0.23189601302146912]"
1,Ninguno de los indicadores que miden la evolucion de los salarios registra una caida del 33% en terminos reales. No se llega a esta cifra durante la gestion de Massa como ministro ni durante la gestion completa del Frente de Todos. La medicion de ingresos que elabora el INDEC a traves de la Encuesta Permanente de Hogares muestra un comportamiento parecido.,"[0.9999008178710938, 9.917523857438937e-05]",0,0,"[0.5447969436645508, 0.45520302653312683]"
0,90% de las exportaciones de 5 provincias argentinas son a China,"[0.9972500205039978, 0.002750022104009986]",0,0,"[0.8396976590156555, 0.16030237078666687]"
1,"De acuerdo con los datos de comercio exterior del INDEC, en 2022 la Argentina destino el 9% del total de su comercio exterior a China, mientras que en el primer semestre de 2023 se exporto a ese pais el 8,1% del total. En 2022 solo 6 provincias destinaron el 20% de sus exportaciones o mas hacia China.","[0.9998403787612915, 0.0001595511130290106]",0,1,"[0.27082329988479614, 0.7291767001152039]"
0,"La Argentina inicio el siglo XX siendo el pais mas rico del mundo. Hoy, al tipo de cambio paralelo, somos 130","[0.00047458254266530275, 0.9995254278182983]",1,1,"[0.438946932554245, 0.5610530972480774]"
1,"Segun datos historicos publicados por la serie Maddison, en 1900 la Argentina se ubicaba en el puesto 13 entre 45 paises analizados, si se tiene en cuenta el PBI per capita por la Paridad del Poder Adquisitivo, y no en el primero. ","[0.9897789359092712, 0.010221127420663834]",0,1,"[0.3083255887031555, 0.6916744112968445]"
1,"Javier Milei, en el debate por el balotaje 2023: ""La cantidad de empleados en el sector privado esta estancado desde 2011""","[0.9998074173927307, 0.0001925496180774644]",0,0,"[0.5336393713951111, 0.4663606286048889]"
1,"Sergio Massa, en el debate por el balotaje 2023: ""El 90% de los chicos que van a la Universidad de Jose C. Paz o de Florencio Varela es primera generacion de estudiantes universitarios""","[0.00021935440599918365, 0.9997807145118713]",1,1,"[0.43890854716300964, 0.5610914826393127]"
1,"En 2022 (ultimo dato disponible), el 92% de los alumnos de la Universidad Nacional Arturo Jauretche era primera generacion de estudiantes universitarios en referencia al padre y 86%, en referencia a la madre. En 2021 (ultimo dato disponible), el 90% de los estudiantes de la Universidad Nacional de Jose C. Paz era la primera generacion de estudiantes universitarios.","[0.2231815606355667, 0.7768184542655945]",1,1,"[0.1404755562543869, 0.8595244288444519]"
1,"Javier Milei, en el debate por el balotaje 2023: ""El 16% de los chicos termina el secundario en tiempo y forma""","[0.9782561659812927, 0.0217438954859972]",0,0,"[0.506429135799408, 0.49357083439826965]"
1,"De acuerdo con un informe del Observatorio Argentinos por la Educacion, solo 13 de cada 100 estudiantes completaron sus 12 anos de estudios primarios y secundarios en tiempo y forma (sin abandonar ni repetir) y con conocimientos satisfactorios de Lengua y Matematica.","[0.9998070597648621, 0.00019298744155094028]",0,1,"[0.07263028621673584, 0.9273697137832642]"
0,"Sergio Massa, en el debate por el balotaje 2023: ""Baje 80% el robo automotor (en Tigre)""","[0.999790608882904, 0.0002093630173476413]",0,0,"[0.5887952446937561, 0.41120481491088867]"
1,"De acuerdo con los datos publicados por el Centro de Experimentacion de Seguridad Vial (CESVI) Argentina, en la gestion de Massa en ese municipio el robo automotor descendio un 69,8%, 10 puntos menos al porcentaje que menciono el candidato presidencial de Union por la Patria.","[0.7791684865951538, 0.22083155810832977]",0,1,"[0.3096727430820465, 0.6903272867202759]"
1,"Sergio Massa, en el debate por el balotaje 2023: ""La eliminacion del Banco Central (que propone Milei) la tiene Micronesia""","[0.998051643371582, 0.001948365243151784]",0,1,"[0.47642359137535095, 0.5235763788223267]"
1,"Existen 10 paises en el mundo que no tienen un banco central. En la mayoria son casos de territorios pequenos e islas con baja poblacion. Micronesia, nombrado por el candidato presidencial por Union por la Patria, esta dentro de esa lista.","[0.9998332262039185, 0.00016669282922521234]",0,1,"[0.30759352445602417, 0.6924065351486206]"
1,"Javier Milei, en el debate por el balotaje 2023: ""La Argentina, en los ultimos 123 anos, tuvo 113 de deficit fiscal""","[0.9998964071273804, 0.00010362393368268386]",0,1,"[0.46167314052581787, 0.5383269190788269]"
1,"El pais registro deficit fiscal financiero (es decir, la diferencia entre los gastos corrientes de un Estado y su recaudacion de impuestos, incluyendo el pago de intereses de la deuda) en 113 anos de los ultimos 123, como dijo en el debate de cara al balotaje 2023 el candidato presidencial de La Libertad Avanza.","[0.999923825263977, 7.617138180648908e-05]",0,1,"[0.3411617875099182, 0.6588382124900818]"
0,"Javier Milei, sobre el Banco Central: ""Desde que lo nacionalizamos en 1946, nuestra inflacion fue del 250%""","[0.7958531975746155, 0.2041468322277069]",0,0,"[0.5670071840286255, 0.4329928755760193]"
0,"En 2015 Victoria Villarruel tuiteo: ""Lo lamento por los diabeticos, pero con mi plata no""","[0.7897447347640991, 0.2102552354335785]",0,0,"[0.8764911890029907, 0.12350885570049286]"
1,"Villarruel desmintio en sus redes sociales la desinformacion y, en el debate de vicepresidentes del 8 de noviembre, dijo: ""No vamos a quitar el subsidio a los medicamentos, no vamos a cerrar hospitales ni quitar pensiones por discapacidad"".","[0.002362604485824704, 0.9976373910903931]",1,1,"[0.3501640558242798, 0.649836003780365]"
0,El polvo blanco que cubre a Sergio Massa en esta fotografia viral es cocaina,"[0.9999257326126099, 7.426692900480703e-05]",0,0,"[0.9583557844161987, 0.04164416342973709]"
1,"En la foto original, tomada en La Rioja en 2015, el sorbete esta sobre su boca. Y el candidato no esta cubierto de cocaina sino de harina; un producto que se acostumbra arrojar en el Festival Chayero Sanagasteno de esa provincia. ","[0.8598061203956604, 0.1401938647031784]",0,0,"[0.5578191876411438, 0.4421807527542114]"
0,Sergio Massa toma cocaina en este video,"[0.9999094009399414, 9.061573655344546e-05]",0,0,"[0.9820308685302734, 0.017969172447919846]"
1,"Se viralizo un video en redes sociales en el que se ve, supuestamente, al candidato presidencial Sergio Massa consumiendo lo que parece cocaina. Sin embargo, el video desinformativo se basa en otro que circula desde, al menos, 2016, que fue manipulado para reemplazar al hombre original con la imagen y la voz de Massa. No es la primera vez que circula desinformacion que relaciona al candidato de Union por la Patria con el consumo de drogas.","[0.9999189376831055, 8.106551831588149e-05]",0,1,"[0.4148218333721161, 0.5851781964302063]"
0,Sergio Massa anuncio la eliminacion de los planes sociales,"[0.999431312084198, 0.0005686103249900043]",0,0,"[0.9672488570213318, 0.03275113180279732]"
1,"El Gobierno nacional publico recientemente el Decreto Ndeg 565/2023, que transfiere el programa ""Potenciar Trabajo"" del Ministerio de Desarrollo Social al Ministerio de Trabajo de la Nacion. Esto no implica la eliminacion de este programa ni de los planes sociales, sino un cambio de area. La medida no incluye ningun otro plan social.","[0.8911492228507996, 0.10885079205036163]",0,0,"[0.5191059112548828, 0.48089414834976196]"
0,Sergio Massa provoco un corte en la cabeza de un camarografo tras la entrevista en LN+,"[0.9999332427978516, 6.674522592220455e-05]",0,0,"[0.9692906737327576, 0.030709262937307358]"
0,"Usuarios comparten en redes sociales la imagen de un corte en una cabeza y aseguran que, en un arranque de ira, Sergio Massa habria lanzado un vaso de vidrio a un camarografo luego de la entrevista del 5 de noviembre en LN +.","[0.99993896484375, 6.10649076406844e-05]",0,0,"[0.9145466685295105, 0.08545328676700592]"
0,Lionel Messi apoyo publicamente a Sergio Massa,"[6.250368460314348e-05, 0.9999375343322754]",1,0,"[0.992021918296814, 0.007978063076734543]"
0,"Hay registros de que el jugador haya hecho tales declaraciones de manera publica, tras los resultados de las elecciones generales del 22 de octubre. Marcelo Mendez, director de Comunicacion de Messi, aseguro a Reverso que ""Leo apoyo a Sergio Massa"".","[0.0018709109863266349, 0.9981290698051453]",1,0,"[0.9127838015556335, 0.08721621334552765]"
0,Sergio Massa propone un bono para el colectivo LGBT,"[0.00012636765313800424, 0.9998736381530762]",1,0,"[0.9748417735099792, 0.025158265605568886]"
0,"Circula una placa del diario La Nacion con una frase adjudicada al candidato de Union por la Patria, Sergio Massa, sobre una propuesta de un bono mensual de 350 mil pesos para el colectivo LGBT. ","[0.01101373229175806, 0.9889862537384033]",1,0,"[0.6437987685203552, 0.3562012314796448]"
0,"Este video filmado en Rosario muestra una marcha ""contra el fraude electoral""","[0.008149041794240475, 0.9918509125709534]",1,0,"[0.954379141330719, 0.04562082141637802]"
0,"El video corresponde a los festejos que se llevaron a cabo el 18 de diciembre de 2022, luego de que la Seleccion Argentina saliera campeona del Mundial en Qatar. En Rosario si hubo una manifestacion el domingo ultimo pero, a diferencia de lo que senalan los posteos virales, no fue ""multitudinaria"".","[0.9955796599388123, 0.0044203270226716995]",0,0,"[0.7092026472091675, 0.2907973825931549]"
0,"No, la imagen de un playero de YPF cargando nafta en una Shell no es actual","[0.9999549388885498, 4.5094882807461545e-05]",0,0,"[0.9465702772140503, 0.05342970788478851]"
0,"Un noticiero sudafricano se refiere a la Argentina como ""el pais que no queremos ser""","[0.9998893737792969, 0.00011061276018153876]",0,0,"[0.9226114153862, 0.07738855481147766]"
1,"Es falso que un noticiero sudafricano se haya referido a la Argentina como ""el pais que no queremos ser"". El noticiero fue fabricado en base a una plantilla de videos a disposicion para su compra en varios sitios web, y cuyo contenido audiovisual y escrito puede ser editado por los usuarios. ","[0.9998544454574585, 0.0001455896854167804]",0,1,"[0.42533841729164124, 0.5746615529060364]"
0,La madre de Lucio Dupuy subio un video desde la carcel en apoyo a Sergio Massa.,"[0.9979666471481323, 0.002033417345955968]",0,0,"[0.9650734066963196, 0.034926652908325195]"
0,"Miles de usuarios comparten en redes sociales un video que Magdalena Esposito Valenti, asesina convicta de su hijo Lucio Dupuy, habria grabado desde la carcel llamando a votar por el candidato de Union por la Patria, Sergio Massa. ","[0.999853253364563, 0.00014677603030577302]",0,0,"[0.7793504595756531, 0.2206495702266693]"
0,Un portal de China anuncia la venta de Vaca Muerta a ese pais,"[0.9999516010284424, 4.834615174331702e-05]",0,0,"[0.9292088150978088, 0.07079125195741653]"
0,Usuarios en redes comparten la captura de una noticia de China que anunciaria la venta de Vaca Muerta a ese pais.,"[0.9997650980949402, 0.00023490299645345658]",0,0,"[0.7368453741073608, 0.26315465569496155]"
0,"Sergio Massa: ""Estamos en el record historico de produccion de petroleo""","[6.027265408192761e-05, 0.9999396800994873]",1,0,"[0.6806268095970154, 0.3193732500076294]"
1,"De acuerdo con los datos oficiales, el mayor nivel de produccion de petroleo ocurrio en  1998, cuando se produjeron casi 847 mil barriles diarios. En lo que va de 2023, en promedio, se produjeron 624 mil barriles diarios.","[0.006003561429679394, 0.9939963817596436]",1,1,"[0.12777860462665558, 0.8722214102745056]"
0,Sergio Massa fue agredido durante la campana electoral de 2023,"[0.999819815158844, 0.000180245959199965]",0,0,"[0.9301369786262512, 0.0698629766702652]"
0,"Un video muestra al candidato de Union por la Patria, Sergio Massa, siendo atacado por un grupo de personas mientras ingresa a la Casa Rosada previo al balotaje del 19 de noviembre. ","[0.9998968839645386, 0.00010312561789760366]",0,1,"[0.4701252281665802, 0.5298748016357422]"
0,"Myriam Bregman ""banco a Milei y defendio a Villarruel"" en una entrevista","[0.00011864850966958329, 0.999881386756897]",1,0,"[0.7902581691741943, 0.2097417712211609]"
0,"La candidata a presidente por el Frente de Izquierda y de los Trabajadores (FIT), banco a Milei y defendio a Villarruel"".","[8.392478048335761e-05, 0.9999160766601562]",1,1,"[0.4462119936943054, 0.5537880063056946]"
0,"La esposa de Gerardo Morales, Tulia Snopek, forma parte del directorio de YPF en 2023","[0.9991618394851685, 0.0008382126688957214]",0,0,"[0.590626060962677, 0.4093739092350006]"
0,"Maria Eugenia Tulia Snopek, esposa del gobernador de Jujuy y presidente de la Union Civica Radical, Gerardo Morales, es directora de YPF. Su nombramiento y su renuncia constan en documentos oficiales y la funcionaria figura en el directorio actual de la compania.","[0.9990491271018982, 0.0009508599760010839]",0,1,"[0.4080711007118225, 0.5919288992881775]"
0,"Lionel Messi dijo: ""No votaria a los personajes que venimos viendo desde siempre""","[0.9999411106109619, 5.889673775527626e-05]",0,0,"[0.9796565771102905, 0.0203434806317091]"
0,"Lionel Messi dijo: ""No votaria a los personajes que venimos viendo desde siempre"". La frase se viralizo a traves de una placa de Infobae.","[0.9999309778213501, 6.900157313793898e-05]",0,0,"[0.9810932278633118, 0.018906723707914352]"
0,"La cita ""Los lugares mas calientes del infierno estan reservados para aquellos que en tiempos de crisis moral se mantienen neutrales"" corresponde a ""La Divina Comedia"" de Dante Alighieri, como afirmo Alberto Benegas Lynch","[0.5836290717124939, 0.4163709580898285]",0,1,"[0.48933741450309753, 0.5106626152992249]"
0,"La plataforma electoral de Union por la Patria propone ""reducir el consumo de carne y fomentar el consumo de insectos""","[0.0002094668452627957, 0.9997904896736145]",1,1,"[0.3746756613254547, 0.6253243088722229]"
0,"La plataforma oficialista, en la que se indica que la coalicion liderada por el candidato presidencial Sergio Massa propone reducir el consumo de carne y fomentar el consumo de insectos, entre otras medidas.","[0.0001219665864482522, 0.9998780488967896]",1,1,"[0.4419342577457428, 0.5580657720565796]"
0,"Javier Milei promete cerrar el Registro Automotor, y esa propuesta figura en su plataforma electoral","[0.0002508863981347531, 0.9997491240501404]",1,0,"[0.9453954100608826, 0.05460459738969803]"
0,Ricardo Darin amenazo a un joven con un mensaje escrito el dia de las elecciones generales de 2023,"[0.9999579191207886, 4.204712968203239e-05]",0,0,"[0.8587560057640076, 0.14124394953250885]"
1,"En redes sociales circulan placas con logos de medios de comunicacion que contienen presuntas frases que involucran a politicos, artistas, deportistas y demas personalidades. Es una practica habitual para generar y difundir desinformaciones, ya que requiere minimos esfuerzos de edicion y suele viralizarse rapido. Consejos para no caer en contenidos falsos.","[0.9986226558685303, 0.00137730420101434]",0,1,"[0.10546272993087769, 0.8945372700691223]"
0,Video muestra mosquitos con un numero de serie!!!,"[0.5880301594734192, 0.4119698703289032]",0,0,"[0.9826095104217529, 0.017390454187989235]"
0,Circula un video en Instagram y Tik Tok donde se ve un insecto que al correrle el ala parece tener un numero 36 o 38. En la descripcion indican que se trataria de un numero de serie.,"[0.6760372519493103, 0.3239628076553345]",0,0,"[0.9172224402427673, 0.08277756720781326]"
0,Lionel Messi publico en sus redes sociales una imagen de un leon en apoyo a Javier Milei,"[6.02740328758955e-05, 0.9999396800994873]",1,0,"[0.9947400689125061, 0.005260009318590164]"
0,"Pablo Echarri dijo: ""Por como se viene la mano los argentinos vamos a terminar lavando copas en Europa""","[0.9996021389961243, 0.0003978819877374917]",0,0,"[0.9694194197654724, 0.030580557882785797]"
1,"En redes sociales circula una supuesta placa del diario Clarin con una presunta frase de Pablo Echarri sobre ""el futuro de los argentinos"". Sin embargo, es falsa. No hay registros de los supuestos dichos del actor en Google ni en sus redes sociales o las de Clarin. Tanto Echarri como Clarin lo desmintieron.","[0.9999270439147949, 7.298820128198713e-05]",0,0,"[0.5996264219284058, 0.40037354826927185]"
0,"Rolo Sartorio, cantante de La Beriso, afirmo: ""Si no ganan Milei o Bullrich dejamos la musica para siempre""","[0.9993624091148376, 0.0006375890807248652]",0,0,"[0.6887845993041992, 0.3112154006958008]"
0,"Indignante: El musico Fito Paez declaro: ""Si no es con un gobierno peronista, no tengo nada que hacer en este pais"".","[0.9999595880508423, 4.043022636324167e-05]",0,0,"[0.783977210521698, 0.21602272987365723]"
0,"Regalan un gran leon tallado en madera por un carpintero salteno al candidato de La Libertad Avanza, Javier Milei, antes de las elecciones generales.","[8.661791798658669e-05, 0.9999133348464966]",1,0,"[0.7206258177757263, 0.27937421202659607]"
0,"Proyecto Blue Beam: itnentan establecer un ""Nuevo Orden Mundial"". Esta teoria conspirativa esta relacionada con otra teoria conspirativa, la del ""Nuevo Orden Mundial"", que alega que existe una elite secreta y muy poderosa que busca reemplazar los actuales Estados-Nacion por un gobierno autoritario global.","[0.9995489716529846, 0.00045100293937139213]",0,0,"[0.5714733600616455, 0.4285266697406769]"
1,"El video de Cristina Fernandez de Kirchner en el que llama a votar por Union Ciudadana es de 2017, no de 2023","[0.9996297359466553, 0.0003702308749780059]",0,1,"[0.48960867524147034, 0.5103912949562073]"
1,"Un video en el que la vicepresidenta Cristina Fernandez de Kirchner llama a votar por la coalicion Union Ciudadana circula como si hubiese sido grabado previo a las elecciones generales del 22 de octubre. Pero es falso. La grabacion original fue difundida dos dias antes de las elecciones primarias legislativas de agosto de 2017, en las que Fernandez de Kirchner formaba parte de la oposicion. ","[0.9999039173126221, 9.604891238268465e-05]",0,1,"[0.3284355103969574, 0.6715644598007202]"
0,Horacio Rodriguez Larreta saludo con la V peronista en el acto de cierre de campana de Patricia Bullrich,"[0.000171307212440297, 0.9998286962509155]",1,0,"[0.9505212903022766, 0.04947875440120697]"
0,"Durante el cierre de campana de Patricia Bullrich, Larreta hace la ""V"" peronista.","[0.9996273517608643, 0.00037259949021972716]",0,0,"[0.9772226214408875, 0.0227773729711771]"
0,Joan Manuel Serrat escribio una carta antisemita a los palestinos de Gaza,"[0.9999638795852661, 3.6135279515292495e-05]",0,0,"[0.6395169496536255, 0.3604830205440521]"
1,"El cartel de Union por la Patria en guarani no dice ""apestoso"", es una mala traduccion","[0.9999679327011108, 3.2116473448695615e-05]",0,0,"[0.6101189851760864, 0.3898809850215912]"
0,"Israel bombardeo la iglesia ortodoxa de San Porfirio, en Gaza","[0.9999617338180542, 3.822014696197584e-05]",0,1,"[0.27435043454170227, 0.7256495952606201]"
0,"Israel habria bombardeado la iglesia ortodoxa de San Porfirio, en Gaza.","[0.9999607801437378, 3.9273691072594374e-05]",0,1,"[0.32089072465896606, 0.6791092753410339]"
0,"Javier Milei, en el segundo debate presidencial 2023: ""Hoy el empleo informal es mas importante que el formal""","[0.0002507778408471495, 0.9997492432594299]",1,0,"[0.6134629845619202, 0.38653701543807983]"
1,"El 7 de octubre ultimo, la organizacion politica y militar palestina Hamas lanzo un ataque sobre Israel. Tras este ataque y la contraofensiva de Israel, comenzaron a circular en redes sociales desinformaciones sobre el conflicto.","[0.9999475479125977, 5.239967140369117e-05]",0,1,"[0.11790627241134644, 0.8820937275886536]"
0,"Javier Milei se apellidaba originalmente ""Mileikowsky""","[0.6939724683761597, 0.3060275614261627]",0,0,"[0.966749906539917, 0.03325008228421211]"
0,Milei no es el verdadero apellido del candidato a presidente de La Libertad Avanza. Su nombre completo no es Javier Gerardo Milei.,"[0.9999426603317261, 5.73570687265601e-05]",0,0,"[0.82881098985672, 0.17118902504444122]"
0,"Sergio Massa, en el segundo debate presidencial 2023, sobre las economias regionales: ""El unico que bajo las retenciones fui yo""","[0.9912799000740051, 0.008720101788640022]",0,0,"[0.6776667237281799, 0.32233327627182007]"
1,"En septiembre, Massa elimino las retenciones a 371 productos de las economias regionales. Sin embargo, no es la primera vez que se toma esta medida: en 2015 Mauricio Macri (Cambiemos) hizo lo mismo para la mayoria de los productos agropecuarios. En 2018, restituyo las retenciones. Durante la gestion de Martin Guzman como ministro tambien se eliminaron retenciones a productos de las economias regionales.","[0.030578503385186195, 0.9694215059280396]",1,1,"[0.3997757136821747, 0.6002242565155029]"
0,"Javier Milei, en el segundo debate presidencial 2023: ""Hay 7 mil personas esperando un trasplante y 300 mil potenciales donantes (de organos)""","[0.004510222934186459, 0.995489776134491]",1,0,"[0.6830572485923767, 0.3169427514076233]"
1,"Es cierto que actualmente hay 7.103 personas en lista de espera del Incucai. Sin embargo, para poder donar organos, el fallecimiento de una persona debe producirse en la terapia intensiva de un hospital, y la muerte debe ser certificada bajo criterios neurologicos. Una muerte de estas caracteristicas se produce en aproximadamente 4 de cada 1.000 casos.","[0.9999027252197266, 9.7281503258273e-05]",0,1,"[0.08944239467382431, 0.9105575680732727]"
1,"Sergio Massa, en el segundo debate presidencial 2023: ""Javier (Milei), votaste en contra de la Ley de Cardiopatias Congenitas""","[0.00031151861185207963, 0.9996885061264038]",1,0,"[0.5547600984573364, 0.44523993134498596]"
1,"El candidato presidencial de La Libertad Avanza voto en contra del proyecto para detectar y prevenir cardiopatias congenitas en bebes recien nacidos cuando fue tratado en la Camara de Diputados en noviembre de 2022. A pesar del voto negativo de Milei, el 13 de abril ultimo la iniciativa fue convertida en ley por el Senado.","[0.00013605630374513566, 0.9998639822006226]",1,1,"[0.3801952302455902, 0.6198047995567322]"
0,Estos ninos israelies en jaulas fueron secuestrados por Hamas,"[0.9996957778930664, 0.0003042008902411908]",0,0,"[0.9590296149253845, 0.04097038879990578]"
0,Circula en redes sociales un video en el que aparecen unos ninos en una jaula y se afirma que son israelies secuestrados por Hamas. Se publico en TikTok antes de la ofensiva de Hamas sobre Israel y el usuario que difundio el video explico que los ninos son sus familiares.,"[0.9997219443321228, 0.00027806172147393227]",0,1,"[0.3901086449623108, 0.6098913550376892]"
0,"Patricia Bullrich a Sergio Massa, en el segundo debate presidencial 2023: ""Hay 2 millones de pobres mas en el tiempo que va tu ano de ministro de Economia""","[0.9998652935028076, 0.00013464027142617851]",0,0,"[0.8616015911102295, 0.13839846849441528]"
